Model,AUC-ROC,Val-AUC,eval_metric,PredTime,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,Accuracy,Precision,Recall,F1-Score
CatBoost_BAG_L1,1.0,0.9934895833333334,recall,0.03475785255432129,0.014676332473754883,24.35610270500183,0.03475785255432129,0.014676332473754883,24.35610270500183,1,True,5,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
LightGBM_BAG_L1,1.0,0.9947916666666666,recall,0.06492805480957031,0.035033226013183594,32.65089201927185,0.06492805480957031,0.035033226013183594,32.65089201927185,1,True,2,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
WeightedEnsemble_L2,1.0,0.99609375,recall,0.10243821144104004,0.053256988525390625,57.763044357299805,0.0027523040771484375,0.0035474300384521484,0.756049633026123,2,True,11,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
RandomForestGini_BAG_L1,1.0,0.9934895833333334,recall,0.10525226593017578,0.26048803329467773,1.321087121963501,0.10525226593017578,0.26048803329467773,1.321087121963501,1,True,3,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
RandomForestEntr_BAG_L1,1.0,0.9934895833333334,recall,0.10687685012817383,0.24334979057312012,1.5048367977142334,0.10687685012817383,0.24334979057312012,1.5048367977142334,1,True,4,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
ExtraTreesGini_BAG_L1,1.0,0.9947916666666666,recall,0.11581850051879883,0.3194005489349365,1.253934383392334,0.11581850051879883,0.3194005489349365,1.253934383392334,1,True,6,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
ExtraTreesEntr_BAG_L1,1.0,0.9947916666666666,recall,0.11910843849182129,0.26252102851867676,1.042632818222046,0.11910843849182129,0.26252102851867676,1.042632818222046,1,True,7,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
NeuralNetTorch_BAG_L1,1.0,0.9869791666666666,recall,0.1272292137145996,0.1233823299407959,89.8040931224823,0.1272292137145996,0.1233823299407959,89.8040931224823,1,True,10,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
XGBoost_BAG_L1,1.0,0.9947916666666666,recall,0.12998294830322266,0.0583951473236084,24.022950649261475,0.12998294830322266,0.0583951473236084,24.022950649261475,1,True,9,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
NeuralNetFastAI_BAG_L1,1.0,0.9830729166666666,recall,0.16513371467590332,0.1558537483215332,53.245065450668335,0.16513371467590332,0.1558537483215332,53.245065450668335,1,True,8,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
LightGBMXT_BAG_L1,1.0,0.9908854166666666,recall,0.2135486602783203,0.1995251178741455,37.101794481277466,0.2135486602783203,0.1995251178741455,37.101794481277466,1,True,1,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
CatBoost_BAG_L2,1.0,0.9947916666666666,recall,1.1995747089385986,1.6874990463256836,292.3219575881958,0.016938209533691406,0.014873743057250977,26.01856803894043,2,True,16,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
LightGBM_BAG_L2,1.0,0.9973958333333334,recall,1.2049250602722168,1.6974244117736816,299.7541160583496,0.02228856086730957,0.024799108505249023,33.45072650909424,2,True,13,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
LightGBMXT_BAG_L2,1.0,0.9934895833333334,recall,1.2059650421142578,1.6868155002593994,299.6665368080139,0.023328542709350586,0.014190196990966797,33.363147258758545,2,True,12,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
WeightedEnsemble_L3,1.0,0.9973958333333334,recall,1.2062175273895264,1.7010138034820557,300.6014895439148,0.0012924671173095703,0.0035893917083740234,0.8473734855651855,3,True,20,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
RandomForestEntr_BAG_L2,1.0,0.9921875,recall,1.2656383514404297,1.8823227882385254,267.3745822906494,0.08300185203552246,0.20969748497009277,1.071192741394043,2,True,15,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
RandomForestGini_BAG_L2,1.0,0.9934895833333334,recall,1.2665035724639893,1.9321575164794922,267.3676235675812,0.08386707305908203,0.25953221321105957,1.0642340183258057,2,True,14,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
ExtraTreesGini_BAG_L2,1.0,0.9934895833333334,recall,1.2688384056091309,1.942002534866333,267.23591232299805,0.08620190620422363,0.2693772315979004,0.9325227737426758,2,True,17,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
ExtraTreesEntr_BAG_L2,1.0,0.9934895833333334,recall,1.2770795822143555,1.9641103744506836,267.3039507865906,0.09444308280944824,0.291485071182251,1.000561237335205,2,True,18,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
NeuralNetFastAI_BAG_L2,1.0,0.9973958333333334,recall,1.3042502403259277,1.7756023406982422,310.3638324737549,0.12161374092102051,0.10297703742980957,44.06044292449951,2,True,19,0.9959349593495935,0.9896907216494846,1.0,0.9948186528497409
