Model,Recall,Accuracy,Precision,F1-Score,AUC-ROC
ExtraTreesGini_BAG_L1,0.6021505376344086,0.7922077922077922,0.6746987951807228,0.6363636363636364,0.8451612903225807
ExtraTrees_r49_BAG_L1,0.6021505376344086,0.7922077922077922,0.6746987951807228,0.6363636363636364,0.8451612903225807
LightGBM_BAG_L1,0.6559139784946236,0.7824675324675324,0.6354166666666666,0.6455026455026455,0.8451612903225806
CatBoost_r49_BAG_L1,0.6129032258064516,0.762987012987013,0.6063829787234043,0.6096256684491979,0.8444611152788197
LightGBM_r94_BAG_L1,0.6666666666666666,0.7922077922077922,0.6526315789473685,0.6595744680851063,0.8435608902225556
XGBoost_r98_BAG_L1,0.6559139784946236,0.7922077922077922,0.6559139784946236,0.6559139784946236,0.8429107276819204
XGBoost_r33_BAG_L1,0.5913978494623656,0.788961038961039,0.6707317073170732,0.6285714285714286,0.8427106776694173
NeuralNetFastAI_r111_BAG_L1,0.8172043010752689,0.7337662337662337,0.5390070921985816,0.6495726495726496,0.8414603650912729
XGBoost_r34_BAG_L1,0.5806451612903226,0.788961038961039,0.675,0.6242774566473989,0.8412103025756439
RandomForest_r127_BAG_L1,0.6344086021505376,0.775974025974026,0.6276595744680851,0.6310160427807486,0.840960240060015
RandomForest_r15_BAG_L1,0.6129032258064516,0.7727272727272727,0.6263736263736264,0.6195652173913043,0.8409102275568892
RandomForest_r39_BAG_L1,0.5913978494623656,0.7662337662337663,0.6179775280898876,0.6043956043956044,0.8403600900225058
LightGBM_r161_BAG_L1,0.5698924731182796,0.7922077922077922,0.6883116883116883,0.6235294117647059,0.8399599899974993
LightGBM_r135_BAG_L1,0.6559139784946236,0.7792207792207793,0.6288659793814433,0.6421052631578947,0.8396599149787447
LightGBM_r121_BAG_L1,0.5483870967741935,0.788961038961039,0.6891891891891891,0.6107784431137725,0.8393098274568642
LightGBM_r143_BAG_L1,0.6344086021505376,0.7727272727272727,0.6210526315789474,0.6276595744680851,0.8392598149537385
NeuralNetTorch_r197_BAG_L1,0.6774193548387096,0.762987012987013,0.5943396226415094,0.6331658291457286,0.8374093523380846
RandomForest_r195_BAG_L1,0.5806451612903226,0.762987012987013,0.6136363636363636,0.5966850828729282,0.8373843460865216
RandomForest_r16_BAG_L1,0.6021505376344086,0.775974025974026,0.6363636363636364,0.6187845303867403,0.837059264816204
LightGBM_r130_BAG_L1,0.6236559139784946,0.762987012987013,0.6041666666666666,0.6137566137566137,0.8353588397099275
NeuralNetFastAI_r88_BAG_L1,0.6774193548387096,0.75,0.5727272727272728,0.6206896551724138,0.8351087771942987
NeuralNetTorch_r87_BAG_L1,0.6666666666666666,0.7564935064935064,0.5849056603773585,0.6231155778894473,0.8308077019254814
NeuralNetFastAI_r134_BAG_L1,0.6559139784946236,0.7532467532467533,0.580952380952381,0.6161616161616161,0.828607151787947
NeuralNetTorch_r158_BAG_L1,0.7741935483870968,0.7467532467532467,0.5581395348837209,0.6486486486486487,0.8283070767691922
NeuralNetTorch_r76_BAG_L1,0.6129032258064516,0.7337662337662337,0.5533980582524272,0.5816326530612245,0.8254063515878971
NeuralNetTorch_r19_BAG_L1,0.6881720430107527,0.7564935064935064,0.5818181818181818,0.6305418719211823,0.8248062015503876
NeuralNetTorch_r31_BAG_L1,0.6344086021505376,0.775974025974026,0.6276595744680851,0.6310160427807486,0.8225056264066017
NeuralNetTorch_r86_BAG_L1,0.6236559139784946,0.762987012987013,0.6041666666666666,0.6137566137566137,0.8220805201300325
NeuralNetFastAI_r102_BAG_L1,0.6881720430107527,0.7857142857142857,0.6336633663366337,0.6597938144329897,0.8216054013503375
NeuralNetTorch_r14_BAG_L1,0.6774193548387096,0.7272727272727273,0.5384615384615384,0.6,0.8192548137034258
NeuralNetFastAI_r172_BAG_L1,0.6666666666666666,0.7597402597402597,0.5904761904761905,0.6262626262626263,0.8174543635908977
LightGBMLarge_BAG_L1,0.5268817204301075,0.7564935064935064,0.6125,0.5664739884393064,0.8168542135533883
NeuralNetTorch_r121_BAG_L1,0.6021505376344086,0.7662337662337663,0.6153846153846154,0.6086956521739131,0.8149537384346086
NeuralNetTorch_BAG_L1,0.6666666666666666,0.75,0.5740740740740741,0.6169154228855721,0.8140535133783446
NeuralNetFastAI_r11_BAG_L1,0.7419354838709677,0.724025974025974,0.5307692307692308,0.6188340807174888,0.810752688172043
NeuralNetTorch_r41_BAG_L1,0.6666666666666666,0.762987012987013,0.5961538461538461,0.6294416243654822,0.8047011752938235
NeuralNetTorch_r143_BAG_L1,0.6344086021505376,0.7435064935064936,0.5673076923076923,0.5989847715736041,0.8046511627906977
NeuralNetTorch_r89_BAG_L1,0.6344086021505376,0.7435064935064936,0.5673076923076923,0.5989847715736041,0.8037509377344336
NeuralNetTorch_r30_BAG_L1,0.6236559139784946,0.7435064935064936,0.5686274509803921,0.5948717948717949,0.8022505626406602
NeuralNetTorch_r185_BAG_L1,0.6236559139784946,0.7597402597402597,0.5979381443298969,0.6105263157894737,0.8019004751187797
